Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Board mounting type (product.metafields.shopify.board-mounting-type),Candle type (product.metafields.shopify.candle-type),Chalkboard surface (product.metafields.shopify.chalkboard-surface),Color (product.metafields.shopify.color-pattern),Decoration material (product.metafields.shopify.decoration-material),Frame design (product.metafields.shopify.frame-design),Presentation supply features (product.metafields.shopify.presentation-supply-features),Theme (product.metafields.shopify.theme),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,SEO Hidden (product.metafields.seo.hidden)
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,Packers 100th Season & Home Patch Vapor Limited Jersey - All Stitched,"<p style=""text-align: center;""><strong>Shipping &amp; Delivery</strong><strong></strong></p>
<ul>
<li>Production typically takes 5–10 business days before the order is shipped.</li>
<li>Shipping Time times:<br>Standard Shipping: 10–20 business days<br>Fast Shipping: 5–10 business days</li>
<li>Once your order has been shipped, you will receive a tracking number via email.</li>
</ul>
<p style=""text-align: center;"">&nbsp;<strong>Discover the Perfect Jersey</strong></p>
<div id=""g5nG9oPPip"" class=""g5nG9oPPip gp-mx-auto gp-mb-0 gp-grid gp-max-w-full gp-gap-y-0 gp-transition-colors gp-duration-200 gp-ease-in-out [&amp;_*]:gp-max-w-full"">
<div label=""Block"" type=""component"" class=""gKxXPt2Hz9 gp-relative gp-flex gp-flex-col"">
<div role=""presentation"" class=""gp-group/image gd10qt5zdX"">
<div id=""g5nG9oPPip"" class=""g5nG9oPPip gp-mx-auto gp-mb-0 gp-grid gp-max-w-full gp-gap-y-0 gp-transition-colors gp-duration-200 gp-ease-in-out [&amp;_*]:gp-max-w-full"">
<div label=""Block"" type=""component"" class=""gKxXPt2Hz9 gp-relative gp-flex gp-flex-col"">
<div role=""presentation"" class=""gp-group/image gd10qt5zdX"">
<div class=""pointer-events-auto h-full"">
<ul>
<li><meta charset=""utf-8""> <span>With our unique feature, you can upload your favorite images, and we'll produce special patch designs on your jersey. Create a one-of-a-kind personalized gift or showcase your unique style with a jersey designed entirely to your liking</span><meta charset=""utf-8""></li>
</ul>
</div>
</div>
</div>
</div>
<div id=""gTsJSKuatF"" class=""gTsJSKuatF gp-mx-auto gp-mb-0 gp-grid gp-max-w-full gp-gap-y-0 gp-transition-colors gp-duration-200 gp-ease-in-out [&amp;_*]:gp-max-w-full"">
<div label=""Block"" type=""component"" class=""guXkdeyMdP gp-relative gp-flex gp-flex-col"">
<div class=""gS_oVZdwoR"">
<div class=""gp-flex"">
<p style=""text-align: center;""><strong>""All Stitched"" brings impressive and outstanding differentiation</strong></p>
</div>
</div>
<div class=""gNnyZ-inoP"">
<div class=""gp-flex"">
<div data-gp-text="""" class=""[&amp;_p]:gp-inline [&amp;_p]:after:gp-whitespace-pre-wrap [&amp;_p]:after:gp-content-['\A'] gp-text"">
<ul>
<li>Precise Stitching: With the ""<strong>All Stitched</strong>"" feature, the product is crafted with a focus on detail and precise stitching. This creates a sturdy and meticulous structure, ensuring that the product will withstand stress and provide long-lasting use.</li>
<li>Superior Durability: Combining quality and the strength of ""<strong>All Stitched</strong>"" stitching, the product has the ability to resist wear and tear over time.</li>
</ul>
<p style=""text-align: center;""><strong>Size Chart</strong></p>
<p><img alt="""" src=""https://cdn.shopify.com/s/files/1/0841/9822/8294/files/men.png?v=1773245154""></p>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>",Green Bay Packers,,,"196, best, jersey, nfl, nfl catalog, okk, search-hidden",TRUE,Style,Black Alternate,,Player,Jordan Love,,Size,S,,HU190925TT-NFLFK112Black AlternateJordan Love,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdkma.jpg?v=1764559305,,,FALSE,Packers 100th Season & Home Patch Vapor Limited Jersey - All Stitched,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdkma.jpg?v=1764559305,lb,,79.97,active,1
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,Jordan Love,,,M,,HU190925TT-NFLFK112Black AlternateJordan Love,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdkma.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,Jordan Love,,,L,,HU190925TT-NFLFK112Black AlternateJordan Love,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdkma.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,Jordan Love,,,XL,,HU190925TT-NFLFK112Black AlternateJordan Love,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdkma.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,Jordan Love,,,2XL,,HU190925TT-NFLFK112Black AlternateJordan Love,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdkma.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,Jordan Love,,,3XL,,HU190925TT-NFLFK112Black AlternateJordan Love,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdkma.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,Jordan Love,,,4XL,,HU190925TT-NFLFK112Black AlternateJordan Love,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdkma.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,Jordan Love,,,5XL,,HU190925TT-NFLFK112Black AlternateJordan Love,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdkma.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,Josh Jacobs,,,S,,HU190925TT-NFLFK112Black AlternateJosh Jacobs,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdamq.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,Josh Jacobs,,,M,,HU190925TT-NFLFK112Black AlternateJosh Jacobs,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdamq.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,Josh Jacobs,,,L,,HU190925TT-NFLFK112Black AlternateJosh Jacobs,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdamq.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,Josh Jacobs,,,XL,,HU190925TT-NFLFK112Black AlternateJosh Jacobs,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdamq.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,Josh Jacobs,,,2XL,,HU190925TT-NFLFK112Black AlternateJosh Jacobs,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdamq.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,Josh Jacobs,,,3XL,,HU190925TT-NFLFK112Black AlternateJosh Jacobs,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdamq.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,Josh Jacobs,,,4XL,,HU190925TT-NFLFK112Black AlternateJosh Jacobs,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdamq.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,Josh Jacobs,,,5XL,,HU190925TT-NFLFK112Black AlternateJosh Jacobs,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdamq.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,AJ Dillon,,,S,,HU190925TT-NFLFK112Black AlternateAJ Dillon,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdamx.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,AJ Dillon,,,M,,HU190925TT-NFLFK112Black AlternateAJ Dillon,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdamx.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,AJ Dillon,,,L,,HU190925TT-NFLFK112Black AlternateAJ Dillon,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdamx.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,AJ Dillon,,,XL,,HU190925TT-NFLFK112Black AlternateAJ Dillon,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdamx.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,AJ Dillon,,,2XL,,HU190925TT-NFLFK112Black AlternateAJ Dillon,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdamx.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,AJ Dillon,,,3XL,,HU190925TT-NFLFK112Black AlternateAJ Dillon,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdamx.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,AJ Dillon,,,4XL,,HU190925TT-NFLFK112Black AlternateAJ Dillon,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdamx.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,AJ Dillon,,,5XL,,HU190925TT-NFLFK112Black AlternateAJ Dillon,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdamx.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,Jayden Reed,,,S,,HU190925TT-NFLFK112Black AlternateJayden Reed,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdana.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,Jayden Reed,,,M,,HU190925TT-NFLFK112Black AlternateJayden Reed,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdana.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,Jayden Reed,,,L,,HU190925TT-NFLFK112Black AlternateJayden Reed,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdana.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,Jayden Reed,,,XL,,HU190925TT-NFLFK112Black AlternateJayden Reed,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdana.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,Jayden Reed,,,2XL,,HU190925TT-NFLFK112Black AlternateJayden Reed,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdana.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,Jayden Reed,,,3XL,,HU190925TT-NFLFK112Black AlternateJayden Reed,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdana.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,Jayden Reed,,,4XL,,HU190925TT-NFLFK112Black AlternateJayden Reed,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdana.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,Jayden Reed,,,5XL,,HU190925TT-NFLFK112Black AlternateJayden Reed,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdana.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,Aaron Rodgers,,,S,,HU190925TT-NFLFK112Black AlternateAaron Rodgers,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdani.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,Aaron Rodgers,,,M,,HU190925TT-NFLFK112Black AlternateAaron Rodgers,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdani.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,Aaron Rodgers,,,L,,HU190925TT-NFLFK112Black AlternateAaron Rodgers,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdani.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,Aaron Rodgers,,,XL,,HU190925TT-NFLFK112Black AlternateAaron Rodgers,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdani.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,Aaron Rodgers,,,2XL,,HU190925TT-NFLFK112Black AlternateAaron Rodgers,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdani.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,Aaron Rodgers,,,3XL,,HU190925TT-NFLFK112Black AlternateAaron Rodgers,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdani.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,Aaron Rodgers,,,4XL,,HU190925TT-NFLFK112Black AlternateAaron Rodgers,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdani.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,Aaron Rodgers,,,5XL,,HU190925TT-NFLFK112Black AlternateAaron Rodgers,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdani.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,Brett Favre,,,S,,HU190925TT-NFLFK112Black AlternateBrett Favre,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdanq.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,Brett Favre,,,M,,HU190925TT-NFLFK112Black AlternateBrett Favre,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdanq.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,Brett Favre,,,L,,HU190925TT-NFLFK112Black AlternateBrett Favre,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdanq.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,Brett Favre,,,XL,,HU190925TT-NFLFK112Black AlternateBrett Favre,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdanq.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,Brett Favre,,,2XL,,HU190925TT-NFLFK112Black AlternateBrett Favre,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdanq.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,Brett Favre,,,3XL,,HU190925TT-NFLFK112Black AlternateBrett Favre,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdanq.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,Brett Favre,,,4XL,,HU190925TT-NFLFK112Black AlternateBrett Favre,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdanq.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,Brett Favre,,,5XL,,HU190925TT-NFLFK112Black AlternateBrett Favre,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdanq.jpg?v=1764559305,lb,,79.97,,
packers-100th-season-home-patch-vapor-limited-jersey-all-stitched,,,,,,,,,Black Alternate,,,Reggie White,,,S,,HU190925TT-NFLFK112Black AlternateReggie White,0,shopify,0,continue,manual,78.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0951/6076/2666/files/gexdmnrvgxxdcmjxheCtqnbugexdambqgaxdmmrrgeBtgnbqguCdsmrxgxCdanx.jpg?v=1764559305,lb,,79.97,,
